epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,52.4104,1.12498,0.43333,1,1.00991,0.00015719,0.00015719,0.00015719
2,104.869,0.99347,0.66667,1,0.84803,0.000325416,0.000325416,0.000325416
3,156.714,0.79702,0.86667,1,0.68074,0.000490247,0.000490247,0.000490247
4,207.681,0.68536,0.86667,1,0.5496,0.000651683,0.000651683,0.000651683
5,258.654,0.62838,0.83333,1,0.44791,0.000809723,0.000809723,0.000809723
6,309.572,0.38432,0.83333,1,0.46433,0.000964368,0.000964368,0.000964368
7,360.271,0.41384,0.76667,1,0.48708,0.00111562,0.00111562,0.00111562
8,411.085,0.47916,0.96667,1,0.35039,0.00126347,0.00126347,0.00126347
9,462.152,0.42158,0.86667,1,0.43357,0.00131582,0.00131582,0.00131582
10,513.067,0.30802,0.9,1,0.49203,0.00130168,0.00130168,0.00130168
11,563.964,0.5903,0.7,1,0.83615,0.00128753,0.00128753,0.00128753
12,615.298,0.45349,0.66667,1,0.99316,0.00127338,0.00127338,0.00127338
13,666.83,0.4274,0.86667,1,0.5663,0.00125923,0.00125923,0.00125923
14,717.944,0.29611,0.93333,1,0.48651,0.00124509,0.00124509,0.00124509
15,769.255,0.22027,0.86667,1,0.43074,0.00123094,0.00123094,0.00123094
16,820.242,0.22835,0.73333,1,0.49881,0.00121679,0.00121679,0.00121679
17,871.297,0.46045,0.86667,1,0.55307,0.00120265,0.00120265,0.00120265
18,922.441,0.39361,0.83333,1,0.46222,0.0011885,0.0011885,0.0011885
19,973.399,0.3941,0.86667,1,0.4525,0.00117435,0.00117435,0.00117435
20,1024.45,0.14542,0.86667,1,0.4623,0.00116021,0.00116021,0.00116021
21,1075.55,0.18293,0.9,1,0.35341,0.00114606,0.00114606,0.00114606
22,1126.48,0.31567,0.9,1,0.36488,0.00113191,0.00113191,0.00113191
23,1177.68,0.34212,0.83333,1,0.42377,0.00111776,0.00111776,0.00111776
24,1228.92,0.15544,0.83333,1,0.44447,0.00110362,0.00110362,0.00110362
25,1280.16,0.32874,0.86667,1,0.29436,0.00108947,0.00108947,0.00108947
26,1331.22,0.12278,0.93333,1,0.2225,0.00107532,0.00107532,0.00107532
27,1382.22,0.15954,0.96667,1,0.18193,0.00106118,0.00106118,0.00106118
28,1433.8,0.22199,0.93333,1,0.24918,0.00104703,0.00104703,0.00104703
